deferment	ferment
desirable	sirable
defraud	fraud
undisputed	disputeed
increase	crease
unanswered	answered
incurs	curs
uncertain	certain
unrelated	relateed
desirous	sirous
unwholesome	wholesome
designing	signing
increasing	creaseing
incalculable	calculable
insecurity	secureity
indians	dians
indiana	diana
until	til
infusion	fusion
inhabited	habited
influx	flux
intake	take
install	stall
defer	fer
unjust	just
unpaid	paid
inhabitants	habitants
unmasked	masked
indirectly	directly
insecure	secure
inactivity	activity
unpunished	punished
decreasing	creaseing
unsteady	steady
inconclusive	conclusive
deducted	ducted
unforeseen	foreseeen
insubstantial	substantial
unemployed	employed
unsupported	supported
undeveloped	developed
decree	creed
independence	dependentce
depots	pots
inadequately	adequately
unfulfilled	fulfilled
inexpensive	expensive
ineffectively	effectively
infancy	fancy
indeterminate	determinate
inconvenient	convenient
inflow	flow
invalids	valids
inexact	exact
incur	cur
defaulted	faulted
unsaid	said
deserving	serveing
unintended	intended
unaffected	affected
incapable	capable
inexcusable	excusable
unending	ending
incomplete	complete
inspire	spire
insects	sects
delays	lays
unleashed	leashed
degradation	gradation
despite	spite
undressed	dressed
inactive	active
inappropriate	appropriate
unable	able
unconscionable	conscionable
deposed	poseed
unfold	fold
unprotected	protected
unhappily	happily
union	ion
incompetent	competent
uncommon	comon
invalidated	validateed
unpopular	popular
inspired	spireed
unlikely	likely
unease	ease
defeated	feated
descent	scent
unfortunate	fortunate
independent	dependent
delight	light
unattractive	attractive
unemployment	employment
unfair	fair
uncooperative	cooperative
designers	signers
instance	stance
insubordination	subordinateion
infallible	fallible
insensitive	sensitive
unfounded	founded
desire	sire
unnecessary	necessary
informative	formative
invaluable	valuable
indirect	direct
undisturbed	disturbed
unstable	stable
denominated	nominateed
delighted	lighted
intolerance	tolerance
incorporation	corporation
inside	side
unusually	usually
incursion	cursion
unbalanced	balanceed
intend	tend
invested	vested
invent	vent
inhuman	human
uneven	even
depend	pend
unpleasant	pleasant
unfamiliar	familiar
untenable	tenable
unopened	opened
unaware	aware
insignificant	significant
inconsequential	consequential
inland	land
unintentionally	intentionally
unsure	sure
untimely	timely
unidentified	identified
incoming	comeing
ineffective	effective
ineffectiveness	effectiveness
unimpressed	impressed
intently	tently
unwarranted	waranted
degrade	grade
insights	sights
unarmed	armed
incredible	credible
unveiled	veiled
unbelievable	believable
designer	signer
informs	forms
designed	signed
inform	form
indeed	deed
unacceptable	acceptable
incapacity	capacity
decreases	creases
decreased	creaseed
inefficiency	efficiency
unimpressive	impressive
inversion	version
debating	bateing
instability	stability
unloaded	loaded
unproductive	productive
unlock	lock
inaction	action
unwanted	wanted
intensely	tensely
undesirable	desirable
unison	ison
indecent	decent
inefficient	efficient
unobtainable	obtainable
inmates	mates
unfortunately	fortunately
depressed	pressed
unfairly	fairly
unsuitable	suitable
intends	tends
insanity	sanity
deductions	ductions
inconsistent	consistent
unfolds	folds
inshore	shore
unkind	kind
invocation	vocation
unimportant	important
unmarried	married
uneconomical	economical
unfit	fit
unabated	abated
incite	cite
inseparable	separable
installation	stallation
uneconomic	economic
designations	signations
inexplicable	explicable
informed	formed
interconnected	ter connected
unsatisfactory	satisfactory
deduction	duction
insofar	sofar
decently	cently
undefined	defiineed
inability	ability
unconstitutional	constituteional
unofficial	official
inaudible	audible
decentralization	centralization
depot	pot
inter	ter
deduct	duct
intact	tact
unlocked	locked
unmatched	matched
decomposition	compositeion
unsuccessfully	successfully
unusual	usual
uneasy	easy
insect	sect
informing	forming
intent	tent
deranged	ranged
unused	used
dependable	pendable
undamaged	damageed
delayed	layed
unreliable	reliable
default	fault
detailed	tailed
describe	scribe
undiminished	diminished
unhesitatingly	hesitateingly
incorrect	correct
unwelcome	welcome
deserve	serve
ineligible	eligible
infighting	fighting
unsurpassed	surpassed
unbound	bound
unresponsive	responsive
unload	load
invest	vest
invariable	variable
unrest	rest
inexhaustible	exhaustible
insufficiently	sufficiently
undone	done
unproblematic	problematic
design	sign
defence	fence
investing	vesting
unprofessional	professional
inconsiderable	considerable
unheeded	heeded
infrequently	frequently
inspires	spires
indoors	doors
unthinkable	thinkable
debates	bates
installing	stalling
debated	bateed
ineffectual	effectual
information	formation
unlucky	lucky
untied	tieed
unattended	attended
intended	tended
inconceivable	conceivable
installed	stalled
inward	ward
designation	signation
inequality	equality
intolerable	tolerable
undetectable	detectable
desirability	sirableility
unnatural	natureal
inapplicable	applicable
unresolved	resolveed
unhealthy	healthy
unaccompanied	accompanyied
instances	stances
unexplained	explained
decreed	creeded
unrealistic	realistic
inhalation	halation
uncanny	cany
indiscreet	discreet
depending	pending
unremarkable	remarkable
inconvenience	convenientce
unreasonable	reasonable
unreasonably	reasonably
inflexible	flexible
degraded	gradeed
unhappy	hapy
inadvisable	advisable
indifference	differentce
untreated	treated
unpublished	published
degree	gre
degrading	gradeing
unconscious	conscious
untouched	touched
invisible	visible
unheard-of	heard of
unfolded	folded
unsuccessful	successful
indefinite	definite
described	scribeed
incomes	comes
describes	scribes
deter	ter
insiders	sideers
deport	port
unnecessarily	necessarily
indefinitely	definitely
deferred	fered
increased	creaseed
infamous	famous
informal	formal
input	put
unloading	loading
unlimited	limited
unendurable	endurable
insincere	sincere
describing	scribeing
depressions	pressions
infra	fra
intense	tense
deserved	serveed
deserves	serves
unimpaired	impaired
inhumane	humane
unsafe	safe
unwise	wise
independents	dependents
invalid	valid
income	come
unjustifiable	justifiable
independently	dependently
informally	formally
unfaithful	faithful
unhurt	hurt
unprofitable	profitable
uncomfortable	comfortable
decrees	creeds
depression	pression
unavailable	available
indian	dian
desires	sires
desired	sireed
invented	vented
depended	pended
indivisible	divisible
inoperable	operaable
deceased	ceaseed
defeat	feat
decrease	crease
indefensible	defensible
inaccessible	accessible
unreal	real
invoices	voices
delay	lay
instead	stead
incompetence	competentce
insufficient	sufficient
unsolved	solveed
insight	sight
unchecked	checked
degrees	gres
infertile	fertile
designs	signs
infrequent	frequent
undemocratic	democratic
unlawful	lawful
unprepared	prepareed
indisposed	disposeed
unworthy	worthy
unspecified	specifyied
inalienable	alienable
unoccupied	occupyied
depressing	pressing
inversely	versely
unchanged	changed
unless	less
invests	vests
indoor	door
debate	bate
inspiring	spireing
unfinished	finished
unions	ions
inhabit	habit
unjustified	justified
unauthorized	authorizeed
untrue	true
unravel	ravel
injustice	justice
indiscriminate	discriminate
undetermined	determineed
