 not sufficient 	 not enough 
 not sufficient 	 insufficient 
 's not 	 not 
 not completely 	 not fully 
 not satisfactory 	 unsatisfactory 
 not enough 	 not sufficient 
 not exactly 	 not really 
 not acceptable 	 unacceptable 
 not fully 	 not completely 
 not everybody 	 not everyone 
 not sufficient 	 not enough 
 not resolved 	 not solve 
 not resolve 	 not solve 
 not resolve 	 not solved 
 not resolved 	 not solved 
 not insignificant 	 significant 
 not appropriate 	 inappropriate 
 not ensure 	 not guarantee 
 not totally 	 not completely 
 not officially 	 not formally 
 are insufficient 	 not sufficient 
 been insufficient 	 not sufficient 
 not everyone 	 not everybody 
 not merely 	 not simply 
 not formally 	 not officially 
 not helpful 	 not helping 
 not completely 	 not totally 
 not completely 	 not entirely 
 not solve 	 not resolved 
 not solve 	 not resolve 
 not solved 	 not resolve 
 not solved 	 not resolved 
 not helping 	 not helpful 
 not possible 	 impossible 
 not correct 	 incorrect 
 not totally 	 not entirely 
 not stopped 	 not ceased 
 not simply 	 not merely 
 not sufficiently 	 insufficiently 
 not entirely 	 not completely 
 not simply 	 not merely 
 not important 	 matters not 
 not endanger 	 not jeopardise 
 not required 	 not necessary 
 matters not 	 not important 
 not affected 	 no impact 
 not ceased 	 not stopped 
 no impact 	 not affected 
 's not 	 not 
 not sufficient 	 was insufficient 
 not sufficient 	 is insufficient 
 not sufficient 	 been insufficient 
 not sufficient 	 are insufficient 
 not sufficient 	 were insufficient 
 not merely 	 not simply 
 not infrequently 	 frequently 
 not practicable 	 not feasible 
 not jeopardise 	 not endanger 
 rather not 	 not 
 not guarantee 	 not ensure 
 not really 	 not exactly 
 not clearly 	 not clear 
 not just 	 not only 
 not currently 	 are presently 
 not currently 	 is presently 
 not correctly 	 not properly 
 not proportionate 	 disproportionate 
 not significant 	 insignificant 
 not available 	 no 
 not feasible 	 unfeasible 
 are presently 	 not currently 
 is presently 	 not currently 
 not usually 	 not normally 
 not compulsory 	 not mandatory 
 not simple 	 not easy 
 not expressly 	 not explicitly 
 not usually 	 not generally 
 not entirely 	 not totally 
 not only 	 not 
 not feasible 	 not practicable 
 not enough 	 not sufficient 
 not answering 	 not responding 
 not answering 	 not respond 
 not compatible 	 incompatible 
 not feasible 	 infeasible 
 not merely 	 not only 
 just not 	 not 
 not needed 	 not necessary 
 not feasible 	 no 
 contained no 	 not available 
 not married 	 actually married 
 not mandatory 	 not compulsory 
 not left 	 still left 
 not explicitly 	 not expressly 
 not appropriate 	 is inappropriate 
 not responding 	 not answering 
 not respond 	 not answering 
 not unreasonable 	 reasonable 
 not not 	 was without 
 not not 	 were without 
 not realistic 	 unrealistic 
 not married 	 still married 
 not otherwise 	 no 
 's not 	 not 
 not necessary 	 not needed 
 not even 	 not 
 not otherwise 	 no 
 not perfect 	 imperfect 
 not others 	 not other 
 not exactly 	 not quite 
 not sufficiently 	 not enough 
 insufficient 	 not sufficient 
 not feasible 	 impossible 
 not necessary 	 not required 
 been insufficient 	 not adequate 
 are insufficient 	 not adequate 
 not exclusively 	 not solely 
 still married 	 not married 
 actually married 	 not married 
 not required 	 not necessary 
 not sufficient 	 inadequate 
 been frequently 	 not infrequently 
 not everything 	 not all 
 only limited 	 not limited 
 not everyone 	 not all 
 not adequate 	 was insufficient 
 not adequate 	 are insufficient 
 not adequate 	 is insufficient 
 not adequate 	 been insufficient 
 not adequate 	 were insufficient 
 not necessary 	 not required 
 not other 	 not others 
