 not sufficient 	 insufficient 
 's not 	 not 
 not satisfactory 	 unsatisfactory 
 not acceptable 	 unacceptable 
 not insignificant 	 significant 
 not appropriate 	 inappropriate 
 not possible 	 impossible 
 not correct 	 incorrect 
 not sufficiently 	 insufficiently 
 's not 	 not 
 not infrequently 	 frequently 
 rather not 	 not 
 not proportionate 	 disproportionate 
 not significant 	 insignificant 
 not available 	 no 
 not feasible 	 unfeasible 
 not only 	 not 
 not compatible 	 incompatible 
 not feasible 	 infeasible 
 just not 	 not 
 not feasible 	 no 
 not unreasonable 	 reasonable 
 not realistic 	 unrealistic 
 not otherwise 	 no 
 's not 	 not 
 not even 	 not 
 not otherwise 	 no 
 not perfect 	 imperfect 
 insufficient 	 not sufficient 
 not feasible 	 impossible 
 not sufficient 	 inadequate 
 not practicable 	 impracticable 
 not uncommon 	 common 
 inappropriate 	 not appropriate 
 unacceptable 	 not acceptable 
 not sustainable 	 unsustainable 
 not surprisingly 	 unsurprisingly 
 not discriminatory 	 nondiscriminatory 
 no 's 	 not 
 not desirable 	 undesirable 
 not available 	 unavailable 
 not quite 	 no 
 not really 	 no 
 not complete 	 incomplete 
 not enough 	 no 
 not just 	 not 
 not only 	 no 
 not true 	 untrue 
 not adequate 	 inadequate 
 not exactly 	 no 
 either not 	 not 
 not only 	 not 
 not easy 	 difficult 
 unsatisfactory 	 not satisfactory 
 really not 	 not 
 unavailable 	 not available 
 not too 	 not 
 not efficient 	 inefficient 
 not available 	 no 
 not sufficient 	 enough 
 not fair 	 unfair 
 not without 	 no 
 not exist 	 no 
 not acceptable 	 intolerable 
 not possible 	 no 
 not guilty 	 innocent 
 not enough 	 insufficient 
 not correct 	 wrong 
 not even 	 not 
 not clear 	 unclear 
 not actually 	 no 
 not only 	 no 
 no further 	 not 
 not reasonable 	 unreasonable 
 not quite 	 not 
 not acceptable 	 objectionable 
 not successful 	 unsuccessful 
 not yet 	 not 
 not appropriate 	 inadequate 
 not already 	 not 
 not admissible 	 inadmissible 
 not feasible 	 impracticable 
 not just 	 no 
 not even 	 no 
 not relevant 	 irrelevant 
 not difficult 	 tough 
 not valid 	 invalid 
 not exactly 	 not 
 're not 	 not 
 not feasible 	 inconceivable 
 not right 	 not 
 not simply 	 no 
 not accurate 	 inaccurate 
 not very 	 no 
 not accessible 	 inaccessible 
 not significant 	 nonsignificant 
 not right 	 wrong 
 not necessary 	 unnecessary 
 not really 	 no 
 not permissible 	 impermissible 
 either not 	 not 
 not without 	 not 
 unfeasible 	 not feasible 
 not otherwise 	 not 
 not unusual 	 usual 
 insufficiently 	 not sufficiently 
 not practical 	 impractical 
 not available 	 no 
 not applicable 	 inapplicable 
 not otherwise 	 not 
 not simply 	 no 
 not enough 	 insufficiently 
 not such 	 not 
 not really 	 not 
 not yet 	 no 
 not practicable 	 feasible 
 not feasible 	 practicable 
 just not 	 not 
 now not 	 not 
 not exhaustive 	 non-exhaustive 
 not impossible 	 impracticable 
 incorrect 	 not correct 
 not acceptable 	 impermissible 
 not simply 	 not 
 non-toxic 	 not toxic 
 n't not 	 not 
 not sufficient 	 adequate 
 not then 	 not 
 not very 	 not 
 not negotiable 	 non-negotiable 
 really not 	 not 
 not really 	 exactly 
 non-exhaustive 	 not exhaustive 
 not quite 	 no 
 not enough 	 sufficient 
 not even 	 no 
 n- no 	 not 
 not reliable 	 unreliable 
 not competitive 	 uncompetitive 
 not therefore 	 no 
 not adequate 	 sufficient 
 not acceptable 	 unacceptable 
 not toxic 	 non-toxic 
 not feasible 	 possible 
 not simply 	 not 
 no less 	 not 
 not gonna 	 no 
 not helpful 	 unhelpful 
 not too 	 not 
 not merely 	 only 
 not acceptable 	 inadmissible 
 not just 	 not 
 not something 	 no 
 oh no 	 not 
 impossible 	 not possible 
 not quite 	 not 
 not feasible 	 unworkable 
 not sufficient 	 deficient 
 not really 	 definitely 
 not feasible 	 obtainable 
 incompatible 	 not compatible 
 not suitable 	 unsuitable 
 infeasible 	 not feasible 
 not effective 	 ineffective 
 not exclusive 	 non-exclusive 
 not guilty 	 no 
 not identical 	 non-identical 
 not important 	 unimportant 
 unsurprisingly 	 not surprisingly 
 not eligible 	 ineligible 
 not because 	 no 
 not really 	 not 
 not compatible 	 irreconcilable 
 no time 	 not 
 not elsewhere 	 no 
 not actually 	 not 
 not discriminatory 	 non-discriminatory 
 certainly not 	 not 
 not really 	 actually 
 not feasible 	 untenable 
 not important 	 significant 
 not part 	 not 
 not possible 	 feasible 
 not such 	 no 
 not impossible 	 feasible 
 not adequate 	 insufficient 
 not impossible 	 possible 
 not just 	 no 
 not stop 	 not 
 not difficult 	 tricky 
 not feasible 	 unattainable 
 not difficult 	 hard 
 not really 	 truly 
 nor to 	 not 
 not likely 	 unlikely 
 not something 	 not 
 not enough 	 inadequate 
 not impossible 	 infeasible 
 non-exclusive 	 not exclusive 
 'm not 	 not 
 not acceptable 	 untenable 
 not practical 	 impracticable 
 not enough 	 no 
 not impossible 	 permissible 
 not gonna 	 not 
 absolutely not 	 not 
 not very 	 not 
 're not 	 not 
 not insignificant 	 considerable 
 not because 	 not 
 unrealistic 	 not realistic 
 not correct 	 erroneous 
 not again 	 no 
 not admissible 	 impermissible 
 not stop 	 no 
 not workable 	 impracticable 
 not correct 	 inaccurate 
 not appropriate 	 unsuitable 
 not well-founded 	 unfounded 
 not really 	 hardly 
 perhaps not 	 not 
 not available 	 non-applicable 
 not suitable 	 inappropriate 
 not satisfactory 	 inadequate 
 not yet 	 not 
 not yet 	 no 
 not democratic 	 undemocratic 
 not happy 	 unhappy 
 not sufficient 	 inefficient 
 not right 	 inappropriate 
 not significant 	 modest 
 protection 	 not protected 
 not simple 	 difficult 
 not sufficient 	 unsatisfactory 
 not difficult 	 straightforward 
 not perfect 	 incomplete 
 not even 	 however 
 not true 	 incorrect 
 not precise 	 imprecise 
 not but 	 only 
 not active 	 inactive 
 not to 	 n't 
 not visible 	 invisible 
 not less 	 nonetheless 
 not correct 	 inappropriate 
 not therefore 	 not 
 not effective 	 counterproductive 
 not important 	 insignificant 
 untrue 	 not true 
 ineligible 	 not eligible 
 not available 	 unavailable 
 not enough 	 not 
 not true 	 not 
 not correct 	 true 
 not efficient 	 ineffective 
 not sufficient 	 satisfactory 
 not acceptable 	 impossible 
 undesirable 	 not desirable 
 insignificant 	 not significant 
 not practicable 	 infeasible 
 not well-founded 	 unsubstantiated 
 not fail 	 no 
 course not 	 not 
 not adequately 	 inadequately 
 not feasible 	 unachievable 
 not then 	 no 
 not inconsiderable 	 noticeable 
 not right 	 incorrect 
 nondiscriminatory 	 not discriminatory 
 not long 	 no 
 not insignificant 	 substantial 
 not practicable 	 impossible 
 not really 	 totally 
 not applicable 	 inappropriate 
 not insignificant 	 important 
 , nothing 	 not 
 not negligible 	 noticeable 
 although not 	 not 
 not appropriate 	 suitable 
 not adequate 	 inappropriate 
 not acceptable 	 unacceptable 
 not compatible 	 inconsistent 
 not now 	 not 
 not acceptable 	 inappropriate 
 not feasible 	 unavailable 
 not essential 	 irrelevant 
 unreasonable 	 not reasonable 
 not mandatory 	 non-mandatory 
 not difficult 	 user-friendly 
 not exactly 	 really 
