uncool	not cool
unpublished	not published
deselected	not selected
flame-retardant	not readily flammable
moot	not applicable
unspecified	not specified
non-taxable	not subject to taxation
undated	not dated
unreported	not published
rude	not polite
n'tfunny	not funny
undefined	not defined
unused	not used
illegible	not readable
unknown	not known
non-parties	not parties
unreal	not real
unsurprisingly	not unexpectedly
nonnegotiable	not subject to appeal
unfounded	not valid
iffy	not great
fake	not true
fake	not true
unjust	not fair
negligible	not significant
predictably	not surprisingly
tax-free	not subject to taxation
refusal	not accepted
invalid	not valuable
incomplete	not comprehensive
shortly	not long
inadmissible	not receivable
hazardous	not safe
unmarried	not married
inadvisable	not recommended
rarely	not often
dangerous	not safe
bad	not good
unsafe	not secure
many	not less
many	not less
unimpeachable	not subject to appeal
nothing	not a thing
moot	not relevant
not-for-profit	not for profit
non-binding	not binding
vacant	not allocated
soon	not long
incorrect	not ok
predictably	not unexpectedly
unnecessary	not useful
not	fail to
impractical	not convenient
unrealistic	not practical
poorly	not well
infrequently	not often
not	fails to
unused	not utilized
few	not many
easy	not hard
never	not ever
never	not ever
not	failed to
unsubstantiated	not valid
useless	not necessary
tricky	not obvious
not	does n't
pretty	not bad
pretty	not bad
n'teven	not even
wrong	not well
indeterminate	not determined
bad	not well
especially	not least
unsafe	not safe
little	not many
wrong	not good
immaterial	not important
not	is n't it
seldom	not often
not	is n't it
not	is n't it
unfair	not right
irrational	not reasonable
displeased	not happy
useless	not useful
improbable	not likely
unchanged	not amended
unchanged	not amended
phony	not true
not	do n't you
uncertain	not sure
surreal	not real
shortly	not long after
difficult	not easily
maximum	not exceeding
right	not true
right	not true
particularly	not least
bad	not good
little	not very
not	wo n't
badly	not well
inoperable	not operational
anything	not a thing
unjust	not right
hardly	not easily
sane	not crazy
least	not as
unchanged	not modified
not	failing to
not	did n't
less	not so much
not	n't you
doubtful	not likely
inequitable	not fair
not	n't it
not	failure to
hardly	not readily
not	rather than
hard	not easy
unable	not possible
low	not high
unclear	not precise
abnormal	not right
needless	not necessary
soon	not long after
especially	not least
thin	not excessively
sick	not well
not	does n't
not	you do n't
baseless	not well-founded
useless	not useful
both	not only
pointless	not necessary
inconsequential	not important
unencumbered	not used
undetermined	not determined
denial	not accepted
incompatible	not supported
not	n't no
risky	not safe
regular	not terrible , but not great
not	just do
few	not much
untreated	not treated
inexact	not accurate
final	not subject to appeal
shortly	not long afterwards
inaccurate	not precise
naturally	not surprisingly
yet	not again
less	not as
not	no , i do n't
indefinite	not determined
shortly	not too long
not	no , i do n't
unchanged	not changed
not	, no.
ineligible	not acceptable
compensatory	not mandatory
not	do n't you
not	do n't you
not	do n't you
void	not applicable
less	not as
still	not again
close	not far
hardly	not exactly
tough	not easy
lame	not jaydee
unqualified	not qualified
not	unable to
frequent	not uncommon
little	not long
