[ADJP] | non-toxic | not toxic 
[ADJP] | uncool | not cool 
[ADJP] | unacceptable | not acceptable 
[ADJP] | non-identical | not identical 
[ADJP] | unpublished | not published 
[S] | deselected | not selected 
[ADJP] | unavailable | not available 
[ADJP] | non-exhaustive | not exhaustive 
[ADJP] | flame-retardant | not readily flammable 
[ADJP] | moot | not applicable 
[ADVP] | moot | not applicable 
[S] | moot | not applicable 
[ADJP] | impossible | not possible 
[ADJP] | unspecified | not specified 
[ADJP] | non-respendable | not available 
[ADJP] | unrealistic | not realistic 
[ADJP] | non-taxable | not subject to taxation 
[ADJP] | non-exclusive | not exclusive 
[ADJP] | unlikely | not likely 
[ADJP] | ineligible | not eligible 
[ADJP] | unfounded | not well-founded 
[FRAG] | impossible | not possible 
[FRAG] | unlikely | not likely 
[ADJP] | undated | not dated 
[ADJP] | unreported | not published 
[ADJP] | rude | not polite 
[ADJP] | unreasonable | not reasonable 
[ADJP] | imprescriptible | not subject to limitations 
[ADJP] | inappropriate | not appropriate 
[ADJP] | insufficient | not enough 
[ADJP] | non-negotiable | not negotiable 
[ADJP] | unreliable | not reliable 
[ADJP] | insufficient | not sufficient 
[ADJP] | unsatisfactory | not satisfactory 
[ADJP] | unsustainable | not sustainable 
[ADJP] | unfair | not fair 
[ADJP] | incomplete | not complete 
[ADJP] | unreadable | not readable 
[ADJP] | undesirable | not desirable 
[ADJP] | n'tfunny | not funny 
[ADJP] | undefined | not defined 
[ADJP] | invalid | not valid 
[ADJP] | unused | not used 
[ADJP] | illegible | not readable 
[ADJP] | inconvenient | not user-friendly 
[ADJP] | uncompetitive | not competitive 
[ADJP] | undemocratic | not democratic 
[ADJP] | incorrect | not correct 
[ADJP] | incompatible | not compatible 
[ADJP] | insignificant | not significant 
[ADJP] | unknown | not known 
[ADJP] | false | not true 
[ADJP] | unimportant | not important 
[ADJP] | inadequate | not sufficient 
[NX] | non-parties | not parties 
[ADJP] | untrue | not true 
[ADJP] | unreal | not real 
[ADVP] | unsurprisingly | not unexpectedly 
[ADJP] | inadequate | not enough 
[ADJP] | nonnegotiable | not subject to appeal 
[ADVP] | unsurprisingly | not surprisingly 
[ADJP] | unfounded | not valid 
[ADJP] | unsubstantiated | not well-founded 
[ADVP] | unacceptable | not acceptable 
[FRAG] | unacceptable | not acceptable 
[ADJP] | iffy | not great 
