 not insignificant 	 major 
 not making 	 not 
 not taken 	 not 
 not something 	 no 
 not determined 	 permanent 
 not given 	 no 
 not changed 	 even 
 not operational 	 inactive 
 know not 	 knowledge 
 not everybody 	 everyone 
 not yet 	 non 
 not as 	 below 
 not negligible 	 noticeable 
 not really 	 non 
 - not 	 klng 
 not complete 	 unfinished 
 either not 	 nope 
 not again 	 more 
 not now 	 nope 
 not dead 	 alive 
 not show 	 no 
 not successful 	 aground 
 not large 	 insignificant 
 not sure 	 unlikely 
 not permitted 	 not 
 not rest 	 everything 
 not hold 	 name 
 not bad 	 really 
 not equal 	 else 
 's not 	 would 
 not utilized 	 unused 
 not quite 	 no 
 not desirable 	 poor 
 not encouraged 	 inadvisable 
 are not 	 remain 
 not unreasonable 	 rational 
 not comprehensive 	 partial 
 not think 	 not 
 not appropriate 	 unwarranted 
 not perfect 	 dysfunctional 
 not approved 	 denied 
 not having 	 delete 
 not capable 	 disability 
 not happy 	 enraged 
 not accessible 	 unavailable 
 products not 	 product 
 not receivable 	 admissible 
 not set 	 not 
 not any 	 none 
 not entitled 	 may 
 likewise not 	 similarly 
 not limited 	 infinite 
 but not 	 only 
 not clear 	 inconclusive 
 have not 	 wo 
 not notice 	 note 
 not treated 	 untreated 
 not admissible 	 invalid 
 not married 	 unmarried 
 not one 	 non 
 not specific 	 none 
 not readable 	 illegible 
 may not 	 failed 
 not there 	 back 
 not authorized 	 unauthorized 
 not feasible 	 hopeless 
 not ideal 	 satisfactory 
 not even 	 too 
 not inconsiderable 	 wide-ranging 
 not well-founded 	 groundless 
 not exceeding 	 less 
 not request 	 application 
 not reliable 	 unreliable 
 not accepted 	 denied 
 not getting 	 not 
 not protected 	 protection 
 not used 	 use 
 not entirely 	 fully 
 not safe 	 sure 
 services not 	 service 
 not workable 	 impossible 
 issue not 	 question 
 not ... 	 no 
 not put 	 not 
 not at 	 mode 
 not acceptable 	 undesirable 
 not valid 	 obligatory 
 not impossible 	 untenable 
 not relevant 	 redundant 
 not not 	 n't 
 must not 	 getting 
 definitely not 	 no 
 not guilty 	 no 
 now not 	 not 
 not big 	 modest 
