  sufficient 	 insufficient 
 's  	  
  satisfactory 	 unsatisfactory 
  acceptable 	 unacceptable 
  insignificant 	 significant 
  appropriate 	 inappropriate 
  possible 	 impossible 
  correct 	 incorrect 
  sufficiently 	 insufficiently 
 's  	  
  infrequently 	 frequently 
 rather  	  
  proportionate 	 disproportionate 
  significant 	 insignificant 
  available 	 no 
  feasible 	 unfeasible 
  only 	  
  compatible 	 incompatible 
  feasible 	 infeasible 
 just  	  
  feasible 	 no 
  unreasonable 	 reasonable 
  realistic 	 unrealistic 
  otherwise 	 no 
 's  	  
  even 	  
  otherwise 	 no 
  perfect 	 imperfect 
 insufficient 	  sufficient 
  feasible 	 impossible 
  sufficient 	 inadequate 
  practicable 	 impracticable 
  uncommon 	 common 
 inappropriate 	  appropriate 
 unacceptable 	  acceptable 
  sustainable 	 unsustainable 
  surprisingly 	 unsurprisingly 
  discriminatory 	 nondiscriminatory 
 no 's 	  
  desirable 	 undesirable 
  available 	 unavailable 
  quite 	 no 
  really 	 no 
  complete 	 incomplete 
  enough 	 no 
  just 	  
  only 	 no 
  true 	 untrue 
  adequate 	 inadequate 
  exactly 	 no 
 either  	  
  only 	  
  easy 	 difficult 
 unsatisfactory 	  satisfactory 
 really  	  
 unavailable 	  available 
  too 	  
  efficient 	 inefficient 
  available 	 no 
  sufficient 	 enough 
  fair 	 unfair 
  without 	 no 
  exist 	 no 
  acceptable 	 intolerable 
  possible 	 no 
  guilty 	 innocent 
  enough 	 insufficient 
  correct 	 wrong 
  even 	  
  clear 	 unclear 
  actually 	 no 
  only 	 no 
 no further 	  
  reasonable 	 unreasonable 
  quite 	  
  acceptable 	 objectionable 
  successful 	 unsuccessful 
  yet 	  
  appropriate 	 inadequate 
  already 	  
  admissible 	 inadmissible 
  feasible 	 impracticable 
  just 	 no 
  even 	 no 
  relevant 	 irrelevant 
  difficult 	 tough 
  valid 	 invalid 
  exactly 	  
 're  	  
  feasible 	 inconceivable 
  right 	  
  simply 	 no 
  accurate 	 inaccurate 
  very 	 no 
  accessible 	 inaccessible 
  significant 	 nonsignificant 
  right 	 wrong 
  necessary 	 unnecessary 
  really 	 no 
  permissible 	 impermissible 
 either  	  
  without 	  
 unfeasible 	  feasible 
  otherwise 	  
  unusual 	 usual 
 insufficiently 	  sufficiently 
  practical 	 impractical 
  available 	 no 
  applicable 	 inapplicable 
  otherwise 	  
  simply 	 no 
  enough 	 insufficiently 
  such 	  
  really 	  
  yet 	 no 
  practicable 	 feasible 
  feasible 	 practicable 
 just  	  
 now  	  
  exhaustive 	 non-exhaustive 
  impossible 	 impracticable 
 incorrect 	  correct 
  acceptable 	 impermissible 
  simply 	  
 non-toxic 	  toxic 
 n't  	  
  sufficient 	 adequate 
  then 	  
  very 	  
  negotiable 	 non-negotiable 
 really  	  
  really 	 exactly 
 non-exhaustive 	  exhaustive 
  quite 	 no 
  enough 	 sufficient 
  even 	 no 
 n- no 	  
  reliable 	 unreliable 
  competitive 	 uncompetitive 
  therefore 	 no 
  adequate 	 sufficient 
  acceptable 	 unacceptable 
  toxic 	 non-toxic 
  feasible 	 possible 
  simply 	  
 no less 	  
  gonna 	 no 
  helpful 	 unhelpful 
  too 	  
  merely 	 only 
  acceptable 	 inadmissible 
  just 	  
  something 	 no 
 oh no 	  
 impossible 	  possible 
  quite 	  
  feasible 	 unworkable 
  sufficient 	 deficient 
  really 	 definitely 
  feasible 	 obtainable 
 incompatible 	  compatible 
  suitable 	 unsuitable 
 infeasible 	  feasible 
  effective 	 ineffective 
  exclusive 	 non-exclusive 
  guilty 	 no 
  identical 	 non-identical 
  important 	 unimportant 
 unsurprisingly 	  surprisingly 
  eligible 	 ineligible 
  because 	 no 
  really 	  
  compatible 	 irreconcilable 
 no time 	  
  elsewhere 	 no 
  actually 	  
  discriminatory 	 non-discriminatory 
 certainly  	  
  really 	 actually 
  feasible 	 untenable 
  important 	 significant 
  part 	  
  possible 	 feasible 
  such 	 no 
  impossible 	 feasible 
  adequate 	 insufficient 
  impossible 	 possible 
  just 	 no 
  stop 	  
  difficult 	 tricky 
  feasible 	 unattainable 
  difficult 	 hard 
  really 	 truly 
 nor to 	  
  likely 	 unlikely 
  something 	  
  enough 	 inadequate 
  impossible 	 infeasible 
 non-exclusive 	  exclusive 
 'm  	  
  acceptable 	 untenable 
  practical 	 impracticable 
  enough 	 no 
  impossible 	 permissible 
  gonna 	  
 absolutely  	  
  very 	  
 're  	  
  insignificant 	 considerable 
  because 	  
 unrealistic 	  realistic 
  correct 	 erroneous 
  again 	 no 
  admissible 	 impermissible 
  stop 	 no 
  workable 	 impracticable 
  correct 	 inaccurate 
  appropriate 	 unsuitable 
  well-founded 	 unfounded 
  really 	 hardly 
 perhaps  	  
  available 	 non-applicable 
  suitable 	 inappropriate 
  satisfactory 	 inadequate 
  yet 	  
  yet 	 no 
  democratic 	 undemocratic 
  happy 	 unhappy 
