 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 does not imply [IN,1] [NP,2] 	 does not mean [IN,1] [NP,2] 
 'm not saying [SBAR/VP,1] [VP,2] 	 do n't say [SBAR/VP,1] [VP,2] 
 [VP/S,1] you [VBD,2] not 	 [VP/S,1] you [VBD,2] n't 
 i wo n't be 	 i 'm not gonna be 
 [VBP,1] not move . 	 [VBP,1] n't move . 
 [WP,1] can not [VP/NN,2] 	 [WP,1] are unable to [VP/NN,2] 
 if [NP,1] [VP/VP,2] does not 	 if [NP,1] [VP/VP,2] fails to 
 the [NNP,1] party [VBD,2] not 	 the [NNP,1] party [VBD,2] failed 
 [VBD,1] not able [VP/SBAR,2] 	 [VBD,1] unable to [VP/SBAR,2] 
 [VBZ,1] impossible [SBAR/VP,2] 	 [VBZ,1] not possible [SBAR/VP,2] 
 you do not [VB,1] the 	 you do n't [VB,1] the 
 [MD,1] [VB,2] and not 	 [MD,1] [VB,2] rather than 
 ai n't [NP,1] . 	 's not [NP,1] . 
 i [VBP,1] n't [VP/SBAR,2] 	 i [VBP,1] not [VP/SBAR,2] 
 not say that . 	 n't say that . 
 was not possible [VP/SBAR,1] 	 were unable [VP/SBAR,1] 
 the [NP\DT,1] instead of [PP,2] 	 a [NP\DT,1] , not [PP,2] 
 [VBD,1] not [NN,2] of the 	 [VBD,1] n't [NN,2] of the 
 [NP/NNS,1] [NNS,2] unable to 	 [NP/NNS,1] [NNS,2] which can not 
 certain [NNS,1] [MD,2] not 	 some [NNS,1] [MD,2] not 
 do n't [VB,1] [VBG,2] 	 does not [VB,1] [VBG,2] 
 [PRP,1] [VBZ,2] n't ended yet 	 [PRP,1] [VBZ,2] not over yet 
 [NP,1] has not answered 	 [NP,1] did not answer 
 [VBZ,1] not that easy . 	 [VBZ,1] not that simple . 
 're not listening to [PRP,1] 	 do n't listen to [PRP,1] 
 you do not wish to delete 	 you do n't want to delete 
 not funny , 	 n't funny , 
 n't touch 	 not touch 
 [VBP,1] not confined to 	 [VBP,1] not limited to 
 [WP,1] did not participate 	 [WP,1] did not respond 
 [PP/VP,1] are not parties to 	 [PP/VP,1] are not party to 
 has not indicated 	 did not indicate 
 [DT,1] was n't [ADJP,2] 	 [DT,1] was not [ADJP,2] 
 [-LRB-,1] though not [ADJP,2] -rrb- 	 [-LRB-,1] but not [ADJP,2] -rrb- 
 [VBZ,1] not sufficient [VP,2] . 	 [VBZ,1] not enough [VP,2] . 
 does not [VB,1] [SBAR/NN,2] 	 do n't [VB,1] [SBAR/NN,2] 
 [VBD,1] n't sign [DT,2] 	 [VBD,1] not sign [DT,2] 
 is not capable [PP,1] 	 is incapable [PP,1] 
 [VBD,1] not know [DT,2] 	 [VBD,1] n't know [DT,2] 
 exception rather than [DT,1] [NN,2] 	 exception and not [DT,1] [NN,2] 
 [VBP,1] n't sleep . 	 [VBP,1] not sleeping . 
 [DT,1] 's not possible [.,2] 	 [DT,1] is impossible [.,2] 
 [PRP,1] 's not your business 	 [PRP,1] 's not your concern 
 would not be [JJ,1] [.,2] 	 would n't be [JJ,1] [.,2] 
 do not [VB,1] [DT,2] time 	 do n't [VB,1] [DT,2] time 
 [PRP,1] do n't [VP/NN,2] everything 	 [PRP,1] 're not [VP/NN,2] everything 
 n't [VB,1] [IN,2] all 	 not [VB,1] [IN,2] all 
 'm not frightened [PP,1] [.,2] 	 'm not afraid [PP,1] [.,2] 
 [:,1] that was n't [NP,2] 	 [:,1] it was not [NP,2] 
 am not playing [.,1] 	 shit you not [.,1] 
 [DT,1] client does not [VB,2] 	 [DT,1] customer does not [VB,2] 
 [NP/VP,1] did not reply 	 [NP/VP,1] did not respond 
 [MD,1] not be confined [PP/NN,2] 	 [MD,1] not be limited [PP/NN,2] 
 not just about [NP,1] 	 not only about [NP,1] 
 not new . 	 nothing new . 
 [VBD,1] n't think [IN,2] 	 [VBD,1] not think [IN,2] 
 that were not yet parties 	 that had not yet become parties 
 [SYM,1] we do n't [VP/NP,2] 	 [SYM,1] we do not [VP/NP,2] 
 [NN,1] is not applicable 	 [NN,1] does not apply 
 [VBP,1] failed [TO,2] 	 [VBP,1] not been able [TO,2] 
 is not a game 	 's not a game 
 is not [NP,1] [S/NP,2] 	 's not [NP,1] [S/NP,2] 
 the [NN,1] was unable to 	 the [NN,1] could not 
 you [VBP,1] not want [VP,2] 	 you [VBP,1] n't want [VP,2] 
 was not able to [VP/NN,1] 	 was unable to [VP/NN,1] 
 [CC,1] was unable to [VP,2] 	 [CC,1] could not [VP,2] 
 can not believe [S/DT,1] 	 ca n't believe [S/DT,1] 
 'm not the only one 	 am not the only one 
 [VBP,1] not know yet [.,2] 	 [VBP,1] n't know yet [.,2] 
 that is not much [NN,1] 	 we have n't much [NN,1] 
 [NNP,1] was unable to [VB,2] 	 [NNP,1] could not [VB,2] 
 not too early . 	 about time . 
 ca n't pull it off . 	 're not gonna make it . 
 i do n't [VB,1] [S/NP,2] 	 i do not [VB,1] [S/NP,2] 
 [PRP,1] 're not [PRP,2] 	 [PRP,1] ai n't [PRP,2] 
 [VBP,1] not [VP/PRP,2] us . 	 [VBP,1] n't [VP/PRP,2] us . 
 not limited [TO,1] [NP,2] 	 not restricted [TO,1] [NP,2] 
 [PRP,1] [VBZ,2] not a question 	 [PRP,1] [VBZ,2] not a matter 
 [VBZ,1] not confined to 	 [VBZ,1] not limited to 
 you do not have [VP/S,1] 	 you have n't [VP/S,1] 
 [VBZ,1] not demonstrate [IN,2] 	 [VBZ,1] not show [IN,2] 
 not [PRP$,1] [NP\PRP$,2] 	 n't [PRP$,1] [NP\PRP$,2] 
