Number of pairs: 5113
limited	unlimited
fast_lan	slow_lan
convergent_thinking	divergent_thinking
pardon	unpardon
parallelogram	trapezium
magnetic	nonmagnetic
desirable	undesirable
externally	internally
hitch	unhitch
prefix	suffix
autumnal_equinox	vernal_equinox
sleep	wake
controversial	uncontroversial
liar	square_shoot
advertently	inadvertently
depressurise	pressurise
unguiculate	ungulate
consider	inconsider
muzzle	unmuzzle
isometric	isotonic
maximally	minimally
effectually	ineffectually
eligible	ineligible
a_posteriori	a_priori
unweave	weave
leeward	windward
metamorphic	nonmetamorphic
descript	undescript
supported	unsupported
mate	unmat
artificial_language	natural_language
alphabetic	analphabetic
immature	mature
desensit	sensit
worth	worthless
air_mail	surface_mail
alternating	direct
denationalise	nationalise
nonresident	resident
music	unmus
downstream	upstream
arboreal	nonarboreal
dynamic	undynamic
activation	inactivation
rise	set
object_program	source_program
disobedient	obedient
efficaciously	inefficaciously
nontaxable	taxable
begrudge	wish
affect	unaffect
cenobit	eremit
special	unspeci
inbr	outbr
differentiated	undifferentiated
irresoluteness	resoluteness
nonvolatile_storag	volatile_storag
offend	unoffend
furrowed	unfurrowed
holiness	unholiness
clothed	unclothed
sleev	sleeveless
germfree	germy
admissible	inadmissible
convenience	inconvenience
hygienically	unhygienically
irrationally	rationally
impractic	practic
female_par	male_par
crookedness	straightness
unwearable	wearable
enjoy	suffer
distributary	tributary
civility	incivility
abil	inabl
concise	prolix
consistent	inconsistent
anovul	ovul
direct	indirect
accusatorial	inquisitorial
feasibility	infeasibility
elegant	inelegant
likely	unlikely
exchangeable	unexchangeable
ceremoniousness	unceremoniousness
dabbling_duck	diving_duck
acatalect	hypercatalect
aptness	inaptness
colourful	colourless
hyperton	hypoton
grand_larceni	petit_larceni
apocrin	eccrin
even	uneven
established	unestablished
check_in	check_out
diclin	monoclin
hide	show
desirous	undesirous
radiolucent	radiopaque
selected	unselected
decis	indecis
profitability	unprofitability
fatness	leanness
unwholesome	wholesome
bipolar	unipolar
irrevocable	revocable
above	below
blur	focu
appendag	unappendag
new	old
construction	misconstruction
carpet	uncarpet
ever	never
succumb	surviv
acidifi	alkal
overcharg	undercharg
asymmetri	symmetri
intellectu	nonintellectu
abov	below
dehydrogenate	hydrogenate
