Number of pairs: 3337
limited	unlimited
convergent_thinking	divergent_thinking
parallelogram	trapezium
magnetic	nonmagnetic
desirable	undesirable
externally	internally
hitch	unhitch
prefix	suffix
autumnal_equinox	vernal_equinox
sleep	wake
controversial	uncontroversial
liar	square_shooter
advertently	inadvertently
depressurise	pressurise
unguiculate	ungulate
muzzle	unmuzzle
isometric	isotonic
maximally	minimally
effectually	ineffectually
eligible	ineligible
a_posteriori	a_priori
unweave	weave
leeward	windward
metamorphic	nonmetamorphic
supported	unsupported
artificial_language	natural_language
alphabetic	analphabetic
immature	mature
worth	worthlessness
air_mail	surface_mail
alternating	direct
denationalise	nationalise
nonresident	resident
downstream	upstream
arboreal	nonarboreal
dynamic	undynamic
activation	inactivation
rise	set
object_program	source_program
disobedient	obedient
efficaciously	inefficaciously
nontaxable	taxable
begrudge	wish
differentiated	undifferentiated
irresoluteness	resoluteness
furrowed	unfurrowed
holiness	unholiness
clothed	unclothed
germfree	germy
admissible	inadmissible
convenience	inconvenience
hygienically	unhygienically
irrationally	rationally
crookedness	straightness
unwearable	wearable
enjoy	suffer
distributary	tributary
civility	incivility
concise	prolix
consistent	inconsistent
direct	retrograde
accusatorial	inquisitorial
feasibility	infeasibility
elegant	inelegant
likely	unlikely
exchangeable	unexchangeable
ceremoniousness	unceremoniousness
dabbling_duck	diving_duck
aptness	inaptness
colourful	colourless
even	odd
established	unestablished
check_in	check_out
hide	show
desirous	undesirous
radiolucent	radiopaque
selected	unselected
profitability	unprofitability
fatness	leanness
unwholesome	wholesome
bipolar	unipolar
irrevocable	revocable
above	below
blur	focus
new	worn
construction	misconstruction
ever	never
succumb	survive
dehydrogenate	hydrogenate
responsiveness	unresponsiveness
disposable	nondisposable
brainwashed	unbrainwashed
here	there
inferiority	superiority
anticlimactic	climactic
reported	unreported
asymmetry	symmetry
depressurize	pressurize
inheritable	noninheritable
humility	pride
active	quiet
shortness	tallness
conform_to	violate
orthodoxy	unorthodoxy
contraction	expansion
dry	wet
darkness	lightness
disreputability	reputability
distinctness	indistinctness
deodorize	odorize
cismontane	tramontane
deoxidize	oxidize
changed	unchanged
perinatal	postnatal
absorbency	nonabsorbency
credit	debit
monogamous	polygamous
military	unmilitary
extrospective	introspective
poverty	wealth
settled	unsettled
appropriately	inappropriately
heedful	heedless
divide	unite
classification	declassification
dehumanize	humanize
lengthen	shorten
objectively	subjectively
modulated	unmodulated
romantically	unromantically
off-site	on-site
intolerantly	tolerantly
detribalization	tribalization
catarrhine	platyrrhine
insecurity	security
impartiality	partiality
negative	positive
borrow	lend
overhead	subsurface
calm	stormy
heir_apparent	heir_presumptive
leaky	tight
atypically	typically
nonreflective	reflective
abaxial	adaxial
holy	unholy
relax	tense
successful	unsuccessful
naive	sophisticated
autumnal	wintry
aware	unaware
deciduous	evergreen
insecureness	secureness
rimless	rimmed
adult	juvenile
continual	sporadic
aligned	nonaligned
nonuniformity	uniformity
abundance	scarcity
tastefully	tastelessly
eradicable	ineradicable
husbandly	wifely
endogenous	exogenous
live_in	live_out
de-ionate	ionate
dysgenics	eugenics
exhale	inhale
elegantly	inelegantly
centralization	decentralization
addictive	nonaddictive
expressively	inexpressively
dissatisfaction	satisfaction
allopatry	sympatry
loosen	stiffen
wane	wax
anteriority	posteriority
organized	unorganized
powerfulness	powerlessness
caution	incaution
centrifugal_force	centripetal_force
corpuscular_theory	wave_theory
keep	lose
crystallized	uncrystallized
absolute	relative
alienable	inalienable
sugarless	sugary
strong_point	weak_point
contraindicate	indicate
intoxicated	sober
complaining	uncomplaining
imprecision	precision
livable	unlivable
imperishable	perishable
grammatically	ungrammatically
disincarnate	incarnate
scrupulousness	unscrupulousness
double-barreled	single-barreled
unwarily	warily
acroscopic	basiscopic
productiveness	unproductiveness
dignified	undignified
badly	well
aggrade	degrade
female_aristocrat	male_aristocrat
leave_office	take_office
insecure	secure
unwrinkled	wrinkled
antapex	apex
confirmed	unconfirmed
demanding	undemanding
bad_luck	good_luck
fall_back	gain
lax	tense
meaningful	meaningless
antonym	synonym
derequisition	requisition
persuasiveness	unpersuasiveness
retail	wholesale
curableness	incurableness
effective	ineffective
reverberant	unreverberant
criminalization	decriminalization
acknowledged	unacknowledged
come_in	go_out
fictional	nonfictional
capitalism	socialism
complexity	simplicity
green	ripe
assertively	unassertively
decreasing	increasing
democratic	undemocratic
determinate	indeterminate
unweaned	weaned
hardhearted	softhearted
prospective	retrospective
unworthiness	worthiness
extricable	inextricable
active_voice	passive_voice
sociability	unsociability
nonterritorial	territorial
responsive	unresponsive
fidelity	infidelity
patronized	unpatronized
difference	sameness
respectability	unrespectability
fit	unfit
directional	omnidirectional
extraterritorial	territorial
allochthonous	autochthonous
better	worsen
implausibility	plausibility
invisibility	visibility
insubstantial	substantial
savory	unsavory
agreeableness	disagreeableness
apogee	perigee
illegitimately	legitimately
maximal	minimal
affected	unaffected
disreputably	reputably
circumstantial_evidence	direct_evidence
enrich	impoverish
sleepiness	wakefulness
demythologize	mythologize
break	keep
punch_in	punch_out
glazed	unglazed
multidimensional	unidimensional
apolune	perilune
moneyed	moneyless
ebbtide	flood_tide
brightness	dullness
reasonably	unreasonably
classified	unclassified
in_hand	out_of_hand
mistrust	trust
explode	implode
anodic	cathodic
reasonable	unreasonable
fitness	unfitness
addicted	unaddicted
immaturity	maturity
intransitivity	transitivity
associative	nonassociative
dethrone	enthrone
development	nondevelopment
financial	nonfinancial
recognizably	unrecognizably
weightless	weighty
initiate	uninitiate
drinker	nondrinker
drunkenness	soberness
principled	unprincipled
optimistically	pessimistically
motorized	unmotorized
demote	promote
falsity	truth
depress	elate
disrespectfully	respectfully
disloyalty	loyalty
restricted	unrestricted
crucial	noncrucial
content	discontent
forte	piano
broad-minded	narrow-minded
heavy-duty	light-duty
restraint	unrestraint
cheerfully	cheerlessly
hypervolemia	hypovolemia
numerical	verbal
linear	nonlinear
high_explosive	low_explosive
associate	dissociate
unwaxed	waxed
free	obstruct
ascending	descending
fathomable	unfathomable
necessarily	unnecessarily
crowned	uncrowned
enlightened	unenlightened
interestingness	uninterestingness
nonrigid	rigid
certified	uncertified
consciousness	unconsciousness
eared	earless
hollowness	solidity
correctness	incorrectness
convergency	divergency
mendacity	veracity
inbred	outbred
appendaged	unappendaged
keep_down	vomit
truthfulness	untruthfulness
industrial	nonindustrial
bloodily	bloodlessly
inopportunely	opportunely
reassure	worry
primary	secondary
larboard	starboard
hook	unhook
abstractness	concreteness
dependableness	undependableness
imperceptibility	perceptibility
thoughtfully	thoughtlessly
thick	thin
call_option	put_option
favorableness	unfavorableness
nonrandom	random
pardonable	unpardonable
aboral	oral
bottom-up	top-down
blow_up	reduce
dissuasion	persuasion
engagement	non-engagement
quotable	unquotable
graciously	ungraciously
immodest	modest
listed	unlisted
pardonably	unpardonably
inflow	outflow
illiterate	literate
asset	liability
happily	unhappily
diversified	undiversified
esoteric	exoteric
conspicuously	inconspicuously
get_off	get_on
repeatable	unrepeatable
predictable	unpredictable
conscientiousness	unconscientiousness
louden	quieten
nonpartisan	partisan
desynchronise	synchronise
finitely	infinitely
recto	verso
coherently	incoherently
earned_run	unearned_run
divisible	indivisible
foreignness	nativeness
legalize	outlaw
seated	standing
preparation	resolution
precocious	retarded
femaleness	maleness
guilt	innocence
stratified	unstratified
minus	plus
amphitropous	anatropous
manned	unmanned
encumbered	unencumbered
modern	old_style
skinless	skinned
antagonistic	conciliatory
lumper	splitter
constricted	unconstricted
strengthening	weakening
irrelevance	relevance
functioning	malfunctioning
derivational	inflectional
convenient	inconvenient
communicative	uncommunicative
impotent	potent
metallic	nonmetallic
oriented	unoriented
toothed	toothless
maxi	midi
disunify	unify
effectiveness	ineffectiveness
mindfully	unmindfully
propitious	unpropitious
imprudent	prudent
heterocercal_fin	homocercal_fin
affirmation	reversal
disenfranchisement	enfranchisement
coil	uncoil
even-toed_ungulate	odd-toed_ungulate
constancy	inconstancy
classicist	romanticist
monotheism	polytheism
medical	surgical
demagnetize	magnetize
back_burner	front_burner
judgmental	nonjudgmental
yang	yin
aunt	uncle
detransitivize	transitivize
profundity	superficiality
imperceptible	perceptible
articulately	inarticulately
benignity	malignity
nonporous	porous
immutability	mutability
armament	disarmament
ambiguously	unambiguously
chartered	unchartered
calculable	incalculable
anesthetize	bring_to
blunt_file	taper_file
analogue	digital
cheaply	expensively
attend_to	neglect
busy	idle
painfully	painlessly
insensibility	sensibility
grassless	grassy
nonwashable	washable
by_all_means	by_no_means
cold_war	hot_war
touched	untouched
easterly	westerly
foolishly	wisely
subhuman	superhuman
adequate	inadequate
achromatic	chromatic
hardball	softball
blue-collar	white-collar
greenness	ripeness
continuity	discontinuity
colorful	colorless
improvidence	providence
seamanlike	unseamanlike
inoperative	operative
scalable	unscalable
congruent	incongruent
curliness	straightness
borrower	lender
downtime	uptime
illegality	legality
nasty	nice
considerate	inconsiderate
devolution	evolution
aestivate	hibernate
nidicolous	nidifugous
extrusive	intrusive
officially	unofficially
sour	sweeten
godliness	ungodliness
illegitimate	legitimate
pro-choice	pro-life
bad	good
avenged	unavenged
unwitting	witting
fertility	infertility
automatic	manual
fragrant	malodorous
unworthy	worthy
extinguishable	inextinguishable
fair	unfair
expediency	inexpediency
general_verdict	special_verdict
resist	surrender
naturalness	unnaturalness
disorganise	organise
expedience	inexpedience
optimism	pessimism
nontraditional	traditional
corrupt	incorrupt
best	worst
capacity	incapacity
shaven	unshaven
analyze	synthesize
away	home
afloat	aground
artificial	natural
future	past
disprove	prove
hopefully	hopelessly
conductive	nonconductive
hydrokinetic	hydrostatic
discipline	indiscipline
overstatement	understatement
optimist	pessimist
packaged	unpackaged
abstractly	concretely
eukaryotic	prokaryotic
loading	unloading
contamination	decontamination
downgrade	upgrade
carnivorous	insectivorous
absorbent	nonabsorbent
faced	faceless
acidify	alkalize
disorderly	orderly
irregular	regular
ill	well
bivalent	multivalent
illogicality	logicality
consonantal	vocalic
disengage	engage
downtick	uptick
planned	unplanned
con	pro
propitiousness	unpropitiousness
artesian	subartesian
otherworldliness	worldliness
oleophilic	oleophobic
endocentric	exocentric
irresponsible	responsible
meaningfulness	meaninglessness
comprehension	incomprehension
irresponsibly	responsibly
loaded	unloaded
unvariedness	variedness
high_pitch	low_pitch
double-breasted	single-breasted
gratitude	ingratitude
contraindication	indication
