disingenuous	true
very	actually
acceptable	unimaginable
sluttish	complex
perfect	weak
tenacious	recently
slump	crazy
irrelevant	admissible
unspoiled	bad
almost	far
single	everyone
no	once_again
decent	questionable
grim	many
modestly	substantially
beside	Army_for_the_Liberation_of_Rwanda
last	menstruation
refrain	unmatched
shitty	secure
well	only_if
freehanded	modest
modest	boastfully
only	alike
worthwhile	necessity
thus_far	even
sure	scattered
much	lupus_erythematosus
dismay	much
right_wing	badly
amiss	good
shameful	acceptable
lesser	tenacious
sleep_with	application
harder	light
unclear	powerful
eh	rightfulness
compensate	invalid
sole	yet
as	to_a_lesser_extent
fewer	LE
identical	marginally
aright	abnormal
crummy	much
improper	redress
expert	sucky
peanut	large
allowable	impermissible
untrue	in_good_order
sore	proper
only	beneficial
always	once
cultured	fresh
anomalous	normal
unhealthy	proper
sure_as_shooting	ethan
decent	miserable
sentence	long
lone	outside
gaga	funny
even_so	even
farsighted	modest
seldom	very
far	snug
good	dreadful
fine	ripe
prevent	permissible
erstwhile	anymore
only	exclusively
right	rude
good	crushed
condom	prejudicial
ethan	for_certain
huh	in_effect
intolerable	permissible
permissible	precluded
appropriate	pleonastic
dreadful	good
supernumerary	useful
passably	good
hoodlum	hard
okey	serious
weak	respectable
bit	even
big	
well	goodness
awkward	well-heeled
	meanspirited
mighty	bad-looking
capture	unsuitable
brilliant	lawful
nobelium	good
all_the_same	more
only	surely
stimulate	d
honest	rotten
less	have
variable	have_it_off
right	regurgitate
rule	bizarre
ok	serious
comfortably	quite
ripe	only
application	applied
again	more_than
executable	unfeasible
much	alright
still	just
easy	hardworking
even	likewise
flaky	normal
fair_to_middling	unsatisfactory
uncertain	ascertain
	diaphragm
just	take_out
much	unobjectionable
knead	off
funny	half-baked
changed	motionless
indeed	under
right_hand	terrible
adequately	incompletely
backbreaking	challenging
to	wrongly
exclusively	too
even	wellspring
less	tumid
elsewhere	but
no	get_into
short	prospicient
but	finally
deficient	consummate
knockout	enough
indefensible	rightfield
skillful	evil
defecate	well
much	miss
accepted	denied
less	identical
alone	apart
to	flavour
practicable	inadmissible
least	head
spoilt	nice
evil	tough
short-circuit	well
effective	okay
former	earlier
hurt	expert
fragmentary	double-dyed
driven	unspecified
easy	firmly
horrible	secure
often	sparsely
anyway	alone
	nonetheless
wrong	high-risk
raw	appropriate
actually	actually
curious	n'tfunny
enough	trivial
dear	unfortunate
iniquity	fair
unclear	fuck
low-down	even
inexact	make_up
alike	only
nice	respectable
minimal	prominent
rotten	right
stingy	enough
brilliant	admittedly
aplomb	serious
refused	admit
no	just
someday	forthwith
none	variety
sightedness	only
wrongful	right
huh	just
brutal	easily
	study
yet	level
	for_sure
unsatisfying	satisfactory
amiss	serious
bit	up_to_now
worthless	lots
seedy	too
prior	belated
uncomfortable	in_effect
gonna	sour
carefully	far
sucky	unspoiled
one_and_only	huh
ungainly	appropriate
be_intimate	undetermined
operational	inactive
imperfect	gross
hard	easy
out_of_the_question	panicky
bad	dependable
every_bit	unless
inadequately	very
there	round
much	short
mal	decently
risky	pretty
recently	recollective
ungodly	good
watch	discerning
easy	baffling
dish_out	long
hard	beneficial
mal	reasonable
much	nonaged
much	minimally
rectify	n't
punishing	easy
unimportant	much
good	severely
condom	risky
non	all_the_same
surprisingly	moderately
only	advantageously
rude	seize
more	adequate
dead	sufficient
true	right-hand
clear	unsealed
satisfactory	admissible
least	just
mightily	normal
no	nonetheless
make_up	flawed
even_out	phony
fewer	a_great_deal
possible	misfortunate
swell	inappropriately
less	gross
right	tough
altogether	hing
few	well
increased	lone
wakeless	harmful
pretty	sound
truly	totally
shortly	enough
operose	cheap
safe	spiteful
ofttimes	uncommon
unreasonable	manageable
compensate	okay
right_on	misused
right	broken
easily	marginally
much	down_in_the_mouth
personally	swell
equitable	actually
stay	nevertheless
too	humiliated
badly	harmless
well	straightforward
nonpareil	refrain
sure	some
evening	minus
unspoiled	low
outstrip	only
scurvy	so
poor_people	many
huh	whole
farsighted	yet
long	future_tense
now	ended
correct	irrelevant
zero	peerless
decent	anomalous
promiscuous	slim
unavailing	effective
atomic_number_102	now
less	make_up
-no	good
13.6	just
denied	want
anymore	o'er
that	mighty
funfair	unreasonable
hell	yet
flawed	proficient
only	suffer
enough	downhearted
bit	much
entirely	seeing
no	pass_on
in_effect	damaging
non	ripe
slow	harsh
enough	excessively
much	short
set	dispatch
desirable	undesirable
