long	short
black	red
india	indonesia
finland	germany
buy	sell
austria	sweden
left	right
, france ,	, italy ,
creditors	debtors
easy	hard
argentina	chile
export	import
norway	the netherlands
blacks	whites
little	much
france	norway
finland	spain
horizontal	vertical
maximum	minimum
employment	unemployment
the boys	the men
inside	outside
romania	spain
anybody	nobody
full-time	part-time
january	july
illiterate	literate
less likely	not likely
evil	good
portugal	spain
hungary	romania
belgium	netherlands
front	rear
decrease	increase
downstream	upstream
greece	portugal
red	yellow
africa	asia
bisexual	homosexual
friday	saturday
sweden	the netherlands
denmark	finland
children	mothers
italy	spain
germany	spain
belgium	italy
france	spain
high	low
norway	poland
france	greece
germany	greece
finland	france
creditor	debtor
netherlands	spain
complex	simple
czech republic	greece
argentina	brazil
february	january
the end of	the start of
greece	italy
new zealand	norway
dependent	independent
denmark	spain
finland	sweden
downtown	uptown
netherlands ,	norway ,
japan	korea
italy	japan
, france	, italy
finals	preliminaries
greece	spain
exports	imports
sweden	switzerland
decreased	increased
no man	nobody
germany	italy
children	parents
optimistic	pessimistic
daughter	son
france	netherlands
germany	netherlands
man	woman
italy	netherlands
belgium	spain
boys	girls
downwind	upwind
finland	the netherlands
november	october
slovenia	spain
large	small
female	male
best	worst
spain	sweden
saturdays	wednesdays
france ,	italy ,
france	italy
argentina	germany
netherlands	poland
romania	slovakia
hungary	poland
norway	sweden
negative	positive
austria	italy
austria	spain
finland	italy
exporting	importing
brother	sister
blue	green
new zealand	sweden
thicker	thinner
conservative	liberal
england	scotland
czech republic	poland
france	germany
netherlands	sweden
sweden ,	switzerland ,
insolvent	solvent
north	south
end of	start of
el salvador	honduras
boy	girl
austria	germany
bottom	top
sunrise	sunset
netherlands	new zealand
east	west
ireland	spain
exported	imported
netherlands	norway
greece	sweden
denmark	italy
spain	switzerland
bought	sold
afghanistan	pakistan
belgium	germany
estonia	latvia
lawful	unlawful
black	white
bad	good
hardware	software
belgium	luxembourg
italy	portugal
a man	a woman
germany	sweden
czech republic	germany
austria	the netherlands
finland	netherlands
down	up
export	imports
thick	thin
leeward	windward
czech republic	slovakia
men	women
father	mother
females	males
local	national
dry	wet
irrational	rational
australia	austria
the east	the west
blue	yellow
france and	germany and
impossible	possible
