 huh 	  elsewhere 
  difficult 	 easier 
 short 	  long 
  married 	 unmarried 
 major 	  insignificant 
  exactly 	 hardly 
 unnecessary 	  applicable 
 no 	  under 
 no 	  given 
  true 	 mistaken 
  right 	 bad-looking 
  excessively 	 jeez 
 unworkable 	  feasible 
 n-no 	  that 
  least 	 lastly 
  true 	 fake 
 earlier 	  later 
  practicable 	 unworkable 
 compensatory 	  compulsory 
 unhelpful 	  necessary 
 -no 	  good 
 dangerous 	  safe 
 discussion 	  discussed 
  adequately 	 imperfectly 
  impossible 	 unfeasible 
 tight 	  easy 
 ill 	  fair 
 commonplace 	  unusual 
  well 	 farther 
  we 	 lf 
  yet 	 without 
 unsurprisingly 	  unexpectedly 
  	 stop it 
 nowt 	  much 
  much 	 barely 
 shortly 	  very 
  now 	 over 
 goingto 	  gonna 
  sufficient 	 poor 
  	 minimum of 
  supposed 	 shall 
  good 	 eh 
 oh 	  here 
  as 	 com 
  nearly 	 less 
  enough 	 less 
 lf 	  if 
  well 	 quietly 
  yet 	 oh 
 slight 	  well 
 inactive 	  operational 
  	 don 't 
  impossible 	 achievable 
  good 	 unclear 
  significant 	 modest 
  impossible 	 unworkable 
 awry 	  adequately 
  serious 	 irresponsible 
 no 	  quite 
  ok 	 invalid 
 timeliness 	  later 
 insufficiently 	  adequately 
 do n't 	  
  much 	 shortly 
  well 	 short 
  feasible 	 practicable 
  effective 	 toothless 
 less 	  strictly 
  many 	 much 
  	 any questions 
 no. 	  quite 
 persons 	  one 
 reasonable 	  unreasonable 
  want 	 denied 
 n 	  applicable 
  quite 	 non 
  	 no. 25 
 quite a 	  
  less 	 < 
 above 	  only 
 're just 	  
  only 	 anymore 
  willing 	 denied 
 irresponsible 	  serious 
  yet 	 either 
  receivable 	 irrelevant 
  only 	 most 
  least 	 certain 
  realistic 	 impracticable 
  all 	 everything 
  too 	 really 
 anything 	  much 
 inadequate 	  relevant 
  practicable 	 obtainable 
 bit 	  long 
  jaydee 	 silly 
 defective 	  sufficient 
 safe 	  dangerous 
  dead 	 alive 
 inadequately 	  much 
 useless 	  effective 
 never mind 	  
 unreal 	  true 
 stuart 	  much 
 soon 	  yet 
 fragmented 	  complete 
 okay 	  true 
  	 yes no 
  now 	 anymore 
  as 	 poorly 
  	 in mind 
  	 n't think 
  least 	 lesser 
  	  bad 
  possible 	 panicky 
  	 've no 
  right 	 happy 
 moderately 	  long 
  least 	 including 
 terrible 	  right 
 oman 	  enough 
  therefore 	  
  permissible 	 outrageous 
 okay 	  serious 
 moderately 	  much 
  	  right 
 impossible 	  easy 
  easily 	 poorly 
 farther 	  well 
  	 n't look 
 he 	  only 
  	 without it 
 anyway 	  only 
 prevalent 	  uncommon 
  	 nor the 
  responsible 	 accountability 
 back in 	  
  subject 	 shall 
 almost 	  completely 
  long 	 uncommon 
 very 	  only 
 deficient 	  complete 
 unexceptable 	  acceptable 
  simply 	 just 
 little 	  easily 
  only 	 elsewhere 
 poor 	  acceptable 
  unusual 	 normal 
  many 	 insignificant 
  entirely 	 fully 
  simply 	 solely 
  	 a bit 
  gonna 	  
 're  	  
 slim 	  excessively 
 denied 	  accept 
 n't anything 	  
  	 that fails 
  possible 	 incredible 
  available 	 unattainable 
  	  set 
 incorrectly 	  well 
 cruel 	  good 
 partial 	  comprehensive 
 lojack 	  hard 
 little 	  yet 
  	 never , 
  ever 	 forever 
 are unable 	  
 quite 	  much 
 hard 	  easy 
  that 	 n-no 
 rightly 	  surprisingly 
 practical 	  realistic 
  impossible 	 plausible 
 overly 	  enough 
 unclassified 	  specified 
  	 exclusion of 
  long 	 lack 
 bogus 	  true 
  valid 	 invalid 
  once 	 ever 
 potential 	  impossible 
  excessively 	 golly 
  	 maybe  
  for 	 during 
 iceable 	  insignificant 
  very 	 less 
  merely 	 both 
  mandatory 	 compensatory 
 bad 	  fair 
 short 	  adequate 
 minimally 	  long 
 unavoidably 	  surprisingly 
  allocated 	 unoccupied 
 permanent 	  determined 
 shortly 	  well 
 unacceptable 	  right 
 denied 	  do 
  valid 	 unsubstantiated 
  just 	 no. 
  	  too 
 apart 	  simply 
  going 	 delete 
 tough 	  easily 
 no 	  likely 
 it just 	  
  appropriate 	 moot 
 unknown 	  feasible 
 alia 	  more 
 indeed 	  only 
  even 	 nowhere 
  even 	 however 
 did n't 	  
  well 	 amiss 
  	 an absence 
 insufficient 	  enough 
 are n't 	  
 things 	  all 
  happy 	 livid 
 all right 	  
 more 	  enough 
 scarce 	  long 
  appropriate 	 vain 
 gang 	  everyone 
 unconscionable 	  acceptable 
  acceptable 	 undesirable 
 older 	  anymore 
 stop it 	  
 unreal 	  right 
  accurate 	 wrong 
 the moment 	  
  feasible 	 unachievable 
  long 	 low 
  fair 	 sore 
  difficult 	 easy 
  appropriate 	 redundant 
 l 	  the 
  	 , yes 
  anymore 	 older 
 definitely 	  only 
  	 no such 
  good 	 terrible 
  impossible 	 unlikely 
 absence without 	  
 poorly 	  much 
 back 	  here 
 low 	  long 
 unacceptable 	  admissible 
 minus 	  so 
  necessarily 	  
 extraneous 	  useful 
 no 	  exactly 
  long 	 irrelevant 
  constitute 	  
  	 the failure 
 hardly 	  just 
  either 	 over 
  	  support 
  only 	 older 
  just 	 inter 
 simplistic 	  hard 
  like 	 less 
  long 	 immediately 
  only 	 clearly 
  much 	 scratch 
 nah 	  now 
 out 	  only 
  safe 	 confused 
 still 	  too 
  but 	 just 
 , stop 	  
 unknown 	  possible 
 undoubtedly 	  only 
 , even 	  
  here 	 back 
 simplistic 	  difficult 
 unnecessary 	  much 
  well 	 imperfectly 
 a lot 	  
 untenable 	  acceptable 
 worse 	  adequately 
  impossible 	 unachievable 
  complete 	 unfinished 
  less 	 equitably 
  very 	 slightly 
  otherwise 	  
  one 	 nobody 
 few 	  less 
  surprising 	 natural 
  right 	 hard 
  	 refuses to 
 scarcely 	  very 
  intended 	 unintentional 
 insane 	  good 
  valid 	 vain 
 slow 	  much 
  	 , dear 
  satisfactory 	 scarce 
  even 	 equally 
