hydrophilic	hydrophobic
nonrepresentative	representative
intemperate	temperate
rough	smooth
winged	wingless
trustworthiness	untrustworthiness
continental	intercontinental
documented	undocumented
belt	unbelt
admissible	inadmissible
equitable	inequitable
printable	unprintable
statesmanlike	unstatesmanlike
palatably	unpalatably
fail	manage
detribalisation	tribalisation
breathing	breathless
absence	presence
a_posteriori	a_priori
Romanticism	classicism
composure	discomposure
child	parent
forgettable	unforgettable
colorful	colorless
multidimensional	unidimensional
stained	unstained
demonstrative	undemonstrative
consonantal	vocalic
appropriate	inappropriate
gloved	gloveless
trustworthy	untrustworthy
exactly	inexactly
regulated	unregulated
traveled	untraveled
button	unbutton
decode	encode
inspan	outspan
filial	parental
restraint	unrestraint
actual	potential
courtesy	discourtesy
obvious	unobvious
demythologize	mythologize
christian	unchristian
invalid	valid
primarily	secondarily
poverty	wealth
insurmountable	surmountable
defeasible	indefeasible
banded	unbanded
coordination	incoordination
no	yes
neurotic_depression	psychotic_depression
skillfulness	unskillfulness
float	sink
approvingly	disapprovingly
imperviousness	perviousness
centralize	decentralize
adroit	maladroit
allochthonous	autochthonous
affirm	negate
husbandly	wifely
demulsify	emulsify
nonproliferation	proliferation
articulate	inarticulate
conventionality	unconventionality
receptive	unreceptive
couple	uncouple
concentrated	distributed
animated	unanimated
funded	unfunded
keep_down	vomit
meaningfulness	meaninglessness
best	worst
communicate	excommunicate
constancy	inconstancy
foreign	native
punctuality	tardiness
accusatorial	inquisitorial
deposit	withdraw
play_down	play_up
collected	uncollected
assembly	disassembly
nonviolent	violent
thermoplastic	thermosetting
solved	unsolved
altruistic	egoistic
deservedly	undeservedly
angularity	roundness
curdle	homogenise
nonsignificant	significant
thicken	thin
invulnerability	vulnerability
obligated	unobligated
endoergic	exoergic
compatibility	incompatibility
censored	uncensored
gutlessness	gutsiness
criminalization	decriminalization
structured	unstructured
cheap	expensive
paved	unpaved
sparkling	still
conventionally	unconventionally
tactful	tactless
crossbred	purebred
dishonestly	honestly
brave	timid
balanced	unbalanced
afraid	unafraid
bowed	plucked
popular	unpopular
constant	inconstant
hairiness	hairlessness
covert	overt
congruity	incongruity
healthy	unhealthy
ignoble	noble
conductive	nonconductive
bad	good
irreverence	reverence
manned	unmanned
appealingly	unappealingly
differentiated	undifferentiated
mask	unmask
ambitiously	unambitiously
interestingness	uninterestingness
losings	winnings
aggressive	unaggressive
gracefully	ungracefully
downward	upward
expedient	inexpedient
text_edition	trade_edition
selfishness	unselfishness
coldness	hotness
inorganically	organically
impartial	partial
international	national
feathered	unfeathered
posteriority	priority
plowed	unplowed
metamorphic	nonmetamorphic
centrality	marginality
understood	ununderstood
reported	unreported
delay	rush
judgmental	nonjudgmental
beautify	uglify
ceilinged	floored
allogeneic	xenogeneic
convincing	unconvincing
valgus	varus
