ineffectuality	effectiveness
tantalize	walk
enumerate	innumerate
incompetency	competence
undock	dock
backcloth	foreground
zoology	flora
waste_matter	conserve
dishonourable	honorable
unoriginality	originality
gluttonous	abstemious
single-lane	multilane
incredulously	believingly
flash	soft
crazy	tame
hotness	coldness
bonnie	unfair
explicitness	inexplicitness
systematically	unsystematically
soused	dry
inbound	outward
prevention	unbar
get_away	get_on
ineffective	efficient
graduality	abruptness
licitly	illicitly
question	motionlessness
east	west
whiteness	impurity
carry_away	bring
retarded	precocious
inapplicability	applicability
live_in	live_out
sanitariness	unsanitariness
compressibility	incompressibility
Stephen_Samuel_Wise	foolish
full_phase_of_the_moon	thin
bastard	legitimate
nonprehensile	prehensile
restrict	derestrict
unlikelihood	likeliness
taint	decontamination
bit	refrain
round_down	angular
vanity	fullness
heart-to-heart	close
germy	germfree
harmonical	vowel
crookedness	straightness
decorum	indecorum
concatenation	unchain
congeneric	absolute
oeuvre	idle
insight	unperceptiveness
unspeakable	painless
bible	bibbed
keep_track	lose_track
guilt_feelings	innocence
equalizer	imbalance
overlook	have
reinforce	penalty
intramural	extramural
ferny	fernless
immix	defuse
crucial	inessential
make_up	nonbeing
puerile	adult
precedentedly	unprecedentedly
fusee	defuse
hokey	natural
complaintive	uncomplaining
repentantly	unrepentantly
unbelief	belief
of_import	unimportant
conceitedness	humility
trim_back	blow_up
integral	unconstitutional
abuse	whisper
outboard	inboard
lacy	unwebbed
perceptive	unperceptive
stupid_person	smart
collision	miss
unwatchful	alert
cheer	cheerlessness
adorned	unadorned
handleless	handled
filth	niceness
conjugation	separation
backrest	front
mental_synthesis	misconstruction
tartness	sweeten
pen_up	unfold
determined	rise
outrageous	gradual
rue	joy
receipt	unacknowledged
unceasing	inconstant
captor	liberator
East	disorient
worsened	better
moderating	intensifying
dilution	concentration
accredited	noncommissioned
fairish	unreasonable
concentration	emersion
undercut	uncut
vertical	oblique
Brigham_Young	aged
quetch	cheer
endoergic	exoergic
left_wing	right
bursting_charge	pay_cash
forward	aft
undemonstrative	demonstrative
iron_out	unironed
personalize	depersonalise
sponsor	boycott
coenobitic	eremitic
bedded	unstratified
ribless	ribbed
extravertive	introvert
militarize	demilitarise
incredibility	credibility
multi-valued	bivalent
farseeing	nearsighted
grammatic	ungrammatical
mold	deregulate
immaturity	maturity
adhesive_material	nonadhesive
turn_away	admit
repel	attract
supporting	discouraging
span	uncross
glacial	equatorial
splashiness	deflation
edible	inedible
unstrap	strap
esthetical	inaesthetic
unshaved	shaven
dispossessed	roofed
artificially	naturally
sandlike	argillaceous
war_hawk	dove
forte-piano	forte
discorporate	bodied
haunt	break
sensitivity	insensibility
plunder	conform_to
opposable	unopposable
compartmented	uncompartmented
favorably	unfavorably
upbeat	ill-being
asexual	sexual
pertinence	inapplicability
altruistic	egoistic
crying	net
lock_chamber	unlock
command_processing_overhead_time	subsurface
unlimited	limited
commence	end
soleless	soled
restroom	inconvenience
border	unframed
servicing	disservice
productive	poor
befittingly	unsuitably
harmoniousness	dissonance
sensibilize	desensitise
crystallised	uncrystallized
unforgivable	excusable
ham_it_up	underact
falteringly	steadily
reputation	disrepute
grudgingly	ungrudgingly
shallowness	deepness
offending	unoffending
radical	counterrevolutionary
contract	widening
unawed	awed
in_the_raw	cooked
convolute	untwist
wanton	dark
scalable	unscalable
undershoot	overshoot
inhibitor	activator
free_state	slave_state
perfume	scentless
relieve	difficulty
unceremoniously	ceremoniously
inebriation	soberness
sequester	deposit
undependableness	reliableness
discourteously	courteously
pear-shaped	square
thriftlessness	conserve
branchy	branchless
fountainhead	foot
right-hand	left
nonliteral	literal
ionised	nonionized
grammatical_construction	misconstruction
chintzily	expensively
defensive_structure	offence
effective	bad
unkind	kind
edit	uncut
saw-toothed	toothless
lame	round
Stanford_White	black
passable	intolerable
gutsy	gutless
unsnarl	snarl
1	double
midway	beginning
scorn	admit
handsome	conservative
longanimity	impatience
amorphous	structured
Eastern_Orthodox	unorthodox
uselessly	usefully
rightfulness	left
arborescent	nonarboreal
serviceman	civilian
cubic	planar
short	dark
get_married	unmarried
tranquilize	louden
plowed	unplowed
fervency	hire
leadership	following
nonexistence	existence
collect	pull_out
indigestible	digestible
datable	undatable
untwist	twist
unacceptability	acceptability
capture	disenchant
unsalted	seasoned
fairness	unfairness
revulsion	attraction
colonised	unsettled
abnormalcy	normality
disassociation	association
black_and_white	color
incidental_expense	basic
transitivise	detransitivize
obediently	disobediently
exacting	unfastidious
dignify	undignified
ametabolous	metabolic
string	untwine
dendroidal	nonarboreal
Rex	female_monarch
maximisation	minimization
Joseph_Black	white
dissolve	freeze
organic_fertiliser	inorganic
ineffectually	effectually
MD	slave_state
satisfying	hollow
planned	unplanned
chirk_up	complain
subside	source
snip	unclip
direct_quotation	indirect_discourse
mismatched	matched
scope	foreground
disgorgement	keep_down
unconfined	confined
megascopic	net
decency	indecency
soft_spot	good_part
file	pay_cash
belt_ammunition	unbelt
disorientate	orient
break-dance	keep
fabulously	credibly
bottle_cork	uncork
sort	declassify
inelastic	elastic
fiendish	holy
get_around	keep
oviform	oblate
insincere	sincere
unfaceted	faceted
openhanded	conservative
rotate	turn_in
motored	unmotorized
noncommercial	commercial
imperfect	strong
unpassable	passable
Attic	nonionic
computer_hardware	software
polish_off	start
satisfactory	unsatisfactory
bait	walk
high_up	low_spirits
undergarment	overgarment
adroit	maladroit
