 non-parties 	  parties 
  acceptable 	 inadmissible 
  fixed 	 pending 
 flawed 	  satisfactory 
 worse 	  least 
 nah 	  elsewhere 
  determined 	 indeterminate 
  enough 	 adequate 
  	 it easy 
 timeliness 	  later 
  much 	 ok 
 correct 	  true 
 mildly 	  much 
 already 	  only 
  just 	 13.6 
  able 	 can 
  	 no. 19 
  recommended 	 inadvisable 
  only 	 further 
  	  work 
 more 	  least 
 perhaps 	  you 
  compatible 	 irreconcilable 
  rest 	 everything 
  merely 	 solely 
  enough 	 shortfalls 
 admissible 	  permissible 
  but 	 solely 
  even 	 never 
 unimportant 	  many 
  determined 	 unknown 
  uncommon 	 rare 
 catalogue no 	  
  only 	 together 
 pleasant 	  difficult 
  acceptable 	 improper 
  good 	 huh 
  fair 	 dishonest 
  fully 	 incompletely 
  even 	 n't 
  yet 	 either 
 nor 	  even 
  	 be borne 
 iffy 	  great 
  sufficient 	 short 
  include 	 includes 
  long 	 punk 
 inconsistent 	  supported 
  good 	 insane 
 leonard 	  yet 
 includes 	  least 
  	 n't any 
  admissible 	 inadmissible 
  getting 	 no 
 wack 	  jaydee 
  sufficient 	 adequate 
 right 	  very 
  acceptable 	 unacceptable 
 unsure 	  sure 
 d 	  to 
  impossible 	 feasible 
 shitty 	  good 
 lacking 	  sufficient 
 less 	  much 
 nay 	  elsewhere 
  only 	 along 
  only 	 'il 
  now 	 -no 
  right 	 bullshit 
 shortcomings 	  enough 
 okay 	  anything 
  significant 	 underage 
 consistently 	  always 
 inadmissible 	  right 
  fair 	 unreasonable 
 person 	  for 
  enough 	 slow 
 subsequently 	  now 
  	 i 'm 
  , 	 only 
  uncommon 	 frequent 
  feasible 	 unlikely 
 access 	  available 
 fuck that 	  
 weak 	  adequate 
  	 ever , 
 probably 	  necessarily 
 no 	  yet 
  support 	 against 
  excessively 	 dear 
 shortfalls 	  enough 
 right , 	  
 unable 	  enough 
  	 n't want 
 bullshit 	  right 
  easily 	 difficult 
 unhealthy 	  good 
 nasty 	  right 
  exactly 	 ill 
 it without 	  
