achromatic_colour	chromatic_color
eventide	odd
unblock	confine
popularise	specify
impressionable	unimpressionable
hornswoggle	pro
rump	top
blond	brunet
well-being	ill-being
unconstricted	constricted
recent	early
bed	top
piousness	impiety
drinker	nondrinker
gesture	motionlessness
dear	hate
slacken	tense
Justinian_code	international_law
restrain	break
undefined	defined
Greco-Roman	nonclassical
harlequinade	seriousness
with_child	small
outdoor_stage	yield
unpriestly	priestly
file_in	file_out
kill	victory
proximal	distal
secondarily	primarily
improvident	provident
anele	unoiled
long-spurred	short-spurred
analytical	synthetic
moderateness	immoderation
exhibit	hide
vanity	fullness
convex_polygon	concave_polygon
favorable_position	inferiority
all_in	living
punctiliousness	unscrupulousness
monaural	binaural
divergence	agreement
productiveness	unproductiveness
continue	discontinue
unquestionable	questionable
partial_derivative	impartial
sinful	virtuous
outlet	recall
three-dimensional	linear
fight_down	prosecute
blonde	brunet
porcine	net
unstudied	studied
merit_system	spoils_system
maximation	minimization
sharpen	soften
gloominess	happiness
hideous	attractive
unhorse	dark
lap-streaked	carvel-built
rowdyism	orderliness
unrighteously	righteously
embroider	reduce
unquotable	quotable
suddenly	living
trustful	distrustful
bolt_out	unbolt
needs	unnecessarily
unhappiness	happiness
port	starboard
distant	downstage
say_farewell	welcome
unclouded	dark
godless	reverent
biaural	monaural
censored	uncensored
adjourn	deposit
heart	beginning
skinny	open
disown	bequeath
unintrusive	intrusive
hightail_it	idle
fittingly	unsuitably
contradict	affirm
starring	following
shopping_centre	left
distasteful	virtuous
electronic_mail	snail_mail
protract	unextended
calibre	interest
wife	husband
prolate	oblate
amorally	morally
exchange	stay
ripe	left
wholesomeness	unwholesomeness
service_program	inutility
unitary	federal
impenetrability	perviousness
untrod	tracked
