deferment	(de)+ FER +(ment)
desirable	(de)+ SIR +(able)
undersecretary	UND +(er) SECRET +(ary)
integrity	INTEGR* +(ity)
defraud	(de)+ FRAUD
undisputed	(un)+ DISPUTE +(ed)
increase	(in)+ CREASE
unanimity	UNANIMITY
unanswered	(un)+ ANSWER +(ed)
invaders	INVADE +(er) +(s)
under	UND +(er)
derogate	DEROGATE
incurs	(in)+ CUR +(s)
dell	DELL
uncertain	(un)+ CERTAIN
determinedly	DETERMIN* +(e) +(ed) +(ly)
internally	INTERN +(al) +(ly)
investigator	INVESTIGAT* +(or)
unrelated	(un)+ RELATE +(ed)
intensification	INTENSIFICATION
delegate	DELEGATE
indices	INDICES
deplorable	DEPLORABL* +(e)
undercover	(under)+ COVE +(er)
depraved	DEPRAVED
infiltration	INFILTRAT* +(ion)
deliberate	DELIBERATE
desirous	(de)+ SIR +(ous)
unwholesome	(un)+ WHOLESOME
designing	(de)+ SIGN +(ing)
increasing	(in)+ CREASE +(ing)
inducement	INDUCE +(ment)
deemed	DEEM +(ed)
interns	INTERN +(s)
interdependent	(inter)+ DEPENDENT
unseemly	UNSEEMLY
incalculable	(in)+ CALCULABLE
deposition	DEPOSIT +(ion)
interpret	INTERPRET
unwillingness	UNWILLING +(ness)
della	DELL +(a)
descending	DESCEND +(ing)
designates	DESIGNATE +(s)
dearie	DEARIE
delegated	DELEGATE +(ed)
unit	UNIT
insecurity	(in)+ SECURE +(ity)
indians	(in)+ DIAN* +(s)
insult	INSUL* +(t)
interruption	INTERRUPT +(ion)
indiana	(in)+ DIAN* +(a)
until	(un)+ TIL*
demoted	DEMOTED
infusion	(in)+ FUS* +(ion)
inhabited	(in)+ HABIT +(ed)
influx	(in)+ FLUX
intake	(in)+ TAKE
deficiencies	DEFICIENCY +(ies)
install	(in)+ (s)+ (t)+ ALL
deprived	DEPRIVE +(ed)
defer	(de)+ FER
unilateral	UNILATERAL
indicated	INDICAT* +(e) +(ed)
unjust	(un)+ JUST
india	INDI* +(a)
involve	INVOLVE
indicates	INDICAT* +(e) +(s)
unpaid	(un)+ PAID
inhabitants	(in)+ HABITANTS
unmasked	(un)+ MAS* +(k) +(ed)
indirectly	(in)+ DIRECT +(ly)
interview	(inter)+ VIEW
description	DESCRIPTION
undergoing	UNDERGO +(ing)
insecure	(in)+ SECURE
demanding	DEMAND +(ing)
destined	DESTIN* +(ed)
inactivity	(in)+ ACTIV* +(ity)
unpunished	(un)+ PUNISH +(ed)
decreasing	(de)+ CREASE +(ing)
democratic	DEMOCRAT +(ic)
unsteady	(un)+ STEAD +(y)
interpretation	INTERPRET +(ation)
deck	DECK
defenders	DEFEND +(er) +(s)
inconclusive	(in)+ CONCLUSIVE
deducted	(de)+ DUCT +(ed)
indispensible	INDI* (s)+ PEN SIBL* +(e)
unforeseen	(un)+ FORESEE +(en)
denver	DENVER
destroyed	DESTROY +(ed)
understated	(under)+ (s)+ TAT +(ed)
