inpi	INPI
institutionalised	INSTITUTIONALISE +(d)
demotion	DEMOTION
inclusively	INCLUSIVE* +(ly)
unblocked	UNBLOCK +(ed)
unomsil	UNOMSIL
inuvik	INUVIK
destitution	DESTITUTION
uncc	UNCC
undernourishment	UNDERNOURISHMENT
infringed	INFRINGE +(d)
incremented	INCREMENT +(ed)
unwieldy	UNWIELDY
injections	INJECTIONS
invalidation	INVALIDATION
interrupting	INTERRUPTING
underrepresented	(under)+ REPRESENTED*
detoxification	DETOXIFICATION
inefficiently	INEFFICIENTLY
internationalisation	INTERNATIONALISATION
incriminated	INCRIMINATED
interferon	INTERFERON
unic	UNIC
inequitable	INEQUITABLE
interlinkages	(inter)+ LINKAGES*
unis	UNIS
derivatives	DERIVATIVES
unfunded	(un)+ FUNDED*
decentralized	DECENTRALIZED
demos	DEMO +(s)
unidroit	UNIDROIT
unreadable	UNREADABLE
degenerate	DEGENERATE
invalidity	INVALIDITY
unsma	UNSMA
uninsured	(un)+ INSURED*
inhabitant	INHABITANT
internalization	INTERNALIZATION
indubitably	INDUBITABLY
infocap	INFOCAP
detonators	DETONATORS
innovative	INNOVATIVE
inmha	INMHA
indigence	INDIGENCE
defrauded	DEFRAUDED
anti-doping	ANTI DOPING
inac	INAC
interdisciplinary	INTERDISCIPLINARY
unfccc	UNFCCC
unmovic	UNMOVIC
debug	DEBUG
uninhabitable	UNINHABITABLE
defences	DEFENCES
unclos	UNCLOS
debit	DEBIT
unitar	UNITAR
installs	INSTALL* +(s)
deems	DEEMS
undisputable	UNDISPUTABLE
inspectors	INSPECTORS
unfilled	UNFILLED
deregistration	DEREGISTRATION
un-habitat	UN HABITAT
unosom	UNOSOM
unamet	UNAMET
un-oceans	UN OCEANS
integrally	INTEGRALLY
unhcr	UNHCR
increment	INCREMENT
devolution	DEVOLUTION
desist	DESIST
institutionalise	INSTITUTIONALISE
indexed	INDEXATION +(ed)
unblock	UNBLOCK
deploys	DEPLOY +(s)
indemnification	INDEMNIFICATION
underemployment	UNDEREMPLOYMENT
desktops	DESKTOP +(s)
deminers	DEMINERS
undignified	UNDIGNIFIED
indepth	INDEPTH
undecided	UNDECIDED
understaffed	UNDERSTAFFED
interrogated	INTERROGATED
antimicrobials	ANTIMICROBIALS
internships	INTERNSHIP +(s)
inter-agency	INTER AGENCY
unmee	UNMEE
universalization	UNIVERSALIZATION
deflation	DEFLATION
invoicing	INVOICE +(ing)
indonesians	INDONESIANS
interdiction	INTERDICTION
in-flight	IN FLIGHT
inextricably	INEXTRICABLY
det	DET
inspectorate	INSPECTORATE
unu	UNU
unicef	UNICEF
deregulation	DEREGULATION
una	UNA
unc	UNC
unf	UNF
denuclearization	DENUCLEARIZATION
decoupling	DECOUPLING
deprecated	DEPRECATED
decolonisation	DECOLONISATION
deportations	DEPORTATION +(s)
untaet	UNTAE* +(t)
intakes	INTAKES
definetly	DEFINETLY
dept	DEP +(t)
untaes	UNTAE* +(s)
derisory	DERISORY
unmiset	UNMISET
unoa	UNOA
deepens	DEEPENS
inadmissibility	INADMISSIBILITY
incorrectly	INCORRECTLY
decree-law	DECREE LAW
infeasible	INFEASIBLE
unharmed	UNHARMED
devalued	DEVALUATION +(ed)
detainee	DETAINEE
devaluation	DEVALUATION
interfet	INTERFET
inefficiencies	INEFFICIENCIES
intermediation	INTERMEDIATION
incontrovertibly	INCONTROVERTIBLY
depicts	DEPICTS
dengue	DENGUE
unabashedly	UNABASHEDLY
decisionmaking	DECISIONMAKING
deflection	DEFLECTION
invoice	INVOICE
unrivaled	UNRIVALED
indictees	INDICTEES
unsd	UNSD
deleted	DELETE +(d)
unso	UNSO
untiringly	UNTIRINGLY
unrwa	UNRWA
information-gathering	INFORMATION GATHERING
unfa	UNFA
deletes	DELETE +(s)
unrisd	UNRISD
derailed	DERAIL +(ed)
intercultural	INTERCULTURAL
undocumented	UNDOCUMENTED
internalisation	INTERNALISATION
inventoried	INVENTORIED
deliberated	DELIBERATE* +(ed)
under-secretary	UNDER SECRETARY
inmd	INM +(d)
underfunded	(under)+ FUNDED*
detectability	DETECTABILITY
delete	DELETE
interferences	INTERFERENCES
descriptors	DESCRIPTORS
insolvency	INSOLVENCY
unwell	UNWELL
devon	DEVON
unscom	UNSCOM
derail	DERAIL
antiretrovirals	ANTIRETROVIRALS
unog	UNOG
deliveries	DELIVERIES
interrelatedness	INTERRELATEDNESS
unamended	UNAMENDED
under-representation	UNDER REPRESENTATION
defaults	DEFAULTS
underdevelopment	UNDERDEVELOPMENT
unmit	UNMI* +(t)
unitaid	UNITAID
unmis	UNMI* +(s)
unrepresented	(un)+ REPRESENTED*
